location,geo_lat,geo_long,number_of_rooms,number_of_toilets,surface_size,price
8.0,10.80263,106.711183,2.0,2.0,69.0,799.0
8.0,10.81615,106.7073,2.0,2.0,73.0,1679.0
8.0,10.8144999,106.71014220000006,2.0,2.0,73.0,1600.0
8.0,10.8144999,106.71014220000006,1.0,2.0,50.0,1200.0
8.0,10.8144999,106.71014220000006,2.0,2.0,71.0,1590.0
8.0,10.8141863957323,106.70990445899997,2.0,2.0,73.0,1600.0
8.0,10.8144999,106.71014220000006,2.0,2.0,71.0,1704.0
8.0,10.8144999,106.71014220000006,2.0,2.0,72.0,1550.0
8.0,10.8147907810205,106.70950237724605,3.0,2.0,88.0,2100.0
8.0,10.8105831,106.70914219999997,2.0,2.0,72.0,1500.0
8.0,10.814316836140748,106.71006369577026,2.0,2.0,72.0,1600.0
9.0,20.9776384,105.7879322,3.0,2.0,105.0,1554.0
9.0,20.94398,105.8554,2.0,1.0,70.0,896.0
9.0,20.94398,105.8554,2.0,2.0,60.0,768.0
9.0,20.94398,105.8554,1.0,1.0,48.0,624.0
9.0,20.94398,105.8554,2.0,1.0,60.3,771.8
9.0,20.9461418,105.85545130000003,2.0,1.0,60.0,630.0
9.0,20.94398,105.8554,2.0,1.0,64.0,819.2
9.0,20.9461418,105.85545130000003,2.0,1.0,60.0,768.0
9.0,20.98309898376465,105.80825805664062,2.0,2.0,55.0,1400.0
9.0,20.98309898376465,105.80825805664062,2.0,2.0,74.0,1400.0
9.0,20.98309898376465,105.80825805664062,2.0,2.0,59.0,1400.0
9.0,20.94398,105.8554,2.0,1.0,60.0,768.0
9.0,20.94398,105.8554,2.0,1.0,64.0,819.2
9.0,21.027835,105.852276,3.0,2.0,77.0,1260.0
9.0,21.027835,105.852276,3.0,2.0,77.0,1260.0
9.0,21.027835,105.852276,2.0,2.0,83.5,1450.0
9.0,21.027835,105.852276,3.0,2.0,77.0,1260.0
9.0,20.9439792633057,105.85543823242199,2.0,1.0,64.1,820.5
9.0,20.94398,105.8554,2.0,1.0,70.0,805.0
9.0,20.9570313,105.806961,3.0,2.0,77.0,1260.0
9.0,20.9509006,105.819482,2.0,2.0,60.0,1200.0
9.0,20.96164,105.8035,3.0,2.0,97.0,1503.5
9.0,20.96164,105.8035,3.0,2.0,97.0,1503.5
9.0,20.9439792633057,105.85543823242199,2.0,1.0,60.0,768.0
9.0,20.94398,105.8554,2.0,1.0,70.0,896.0
9.0,20.9570313,105.806961,2.0,2.0,72.0,970.0
9.0,20.95618964222685,105.80837726593018,2.0,2.0,55.8,1150.0
9.0,20.9439792633057,105.85543823242199,2.0,1.0,69.0,883.2
9.0,20.943979263305664,105.85543823242188,2.0,2.0,70.0,896.0
9.0,21.027835,105.852276,1.0,1.0,36.0,550.0
9.0,20.94398,105.8554,2.0,1.0,70.0,896.0
9.0,20.943979263305664,105.85543823242188,2.0,1.0,70.0,896.0
9.0,20.9570313,105.806961,2.0,1.0,55.6,860.0
9.0,20.964401245117188,105.7933349609375,3.0,2.0,98.0,1617.0
9.0,20.9570313,105.806961,2.0,2.0,55.6,860.0
9.0,20.943979263305664,105.85543823242188,2.0,1.0,60.0,768.0
9.0,20.956069412158474,105.80867767333984,2.0,2.0,56.0,950.0
9.0,21.027835,105.852276,2.0,1.0,47.0,820.0
9.0,20.943979263305664,105.85543823242188,2.0,1.0,70.0,896.0
9.0,20.94398,105.8554,2.0,1.0,60.3,771.8
